Environment,Plot,Genotype,Rep,Block,Row,Column,Line.type,Yield
Env1,70,184,1,2,2,30,Entry,5240
Env1,110,185,1,3,3,30,Entry,5337.2095
Env1,174,186,1,5,5,14,Entry,4437.8635
Env1,65,187,1,2,2,25,Entry,5502.7979
Env1,139,188,1,4,4,19,Entry,7010.9009
Env1,179,189,1,5,5,19,Entry,4515.2255
Env1,108,190,1,3,3,28,Entry,5091.9334
Env1,149,191,1,4,4,29,Entry,4635.0291
Env1,175,192,1,5,5,15,Entry,5411.3375
Env1,173,193,1,5,5,13,Check,5290.6975
Env1,143,194,1,4,4,23,Check,5230.8867
Env1,90,195,1,3,3,10,Check,5902.3258
Env1,9,196,1,1,1,9,Check,5450.1455
Env1,111,197,1,3,3,31,Check,5341.57
Env1,48,198,1,2,2,8,Check,4765.625
Env1,74,199,1,2,2,34,Check,5933.7212
Env1,25,200,1,1,1,25,Check,4214.2442
Env1,396,1,2,5,10,36,Entry,5000
Env1,237,2,2,1,6,37,Entry,5148.2557
Env1,230,3,2,1,6,30,Entry,5084.3023
Env1,241,4,2,2,7,1,Entry,7146.8566
Env1,216,5,2,1,6,16,Entry,5125
Env1,381,6,2,5,10,21,Entry,5348.1688
Env1,319,7,2,3,8,39,Entry,4407.7126
Env1,336,8,2,4,9,16,Entry,5951.3083
Env1,320,9,2,3,8,40,Entry,3461.2501
Env1,256,10,2,2,7,16,Entry,5331.0321
Env1,347,11,2,4,9,27,Entry,5148.2557
Env1,262,12,2,2,7,22,Entry,5735.8284
Env1,374,13,2,5,10,14,Entry,6423.6195
Env1,297,14,2,3,8,17,Entry,3915.3344
Env1,364,15,2,5,10,4,Entry,4923.5645
Env1,359,16,2,4,9,39,Entry,4635.7559
Env1,334,17,2,4,9,14,Entry,5937.5
Env1,370,18,2,5,10,10,Entry,6455.6962
Env1,290,19,2,3,8,10,Entry,5026.5261
Env1,246,20,2,2,7,6,Entry,6385.5924
Env1,354,21,2,4,9,34,Entry,5372.093
Env1,300,22,2,3,8,20,Entry,5378.0886
Env1,236,23,2,1,6,36,Entry,4405.5231
Env1,243,24,2,2,7,3,Entry,6125.9447
Env1,277,25,2,2,7,37,Entry,5588.3723
Env1,248,26,2,2,7,8,Entry,6358.503
Env1,245,27,2,2,7,5,Entry,5549.9998
Env1,346,28,2,4,9,26,Entry,5478.4886
Env1,202,29,2,1,6,2,Entry,4138.0449
Env1,350,30,2,4,9,30,Entry,4395.349
Env1,352,31,2,4,9,32,Entry,4041.7153
Env1,274,32,2,2,7,34,Entry,4875
Env1,386,33,2,5,10,26,Entry,6299.4185
Env1,362,34,2,5,10,2,Entry,4218.3867
Env1,218,35,2,1,6,18,Entry,5232.013
Env1,375,36,2,5,10,15,Entry,4734.375
Env1,317,37,2,3,8,37,Entry,5052.3255
Env1,249,38,2,2,7,9,Entry,6326.2721
Env1,398,39,2,5,10,38,Entry,5196.5117
Env1,260,40,2,2,7,20,Entry,5046.5115
Env1,399,41,2,5,10,39,Entry,4604.6511
Env1,209,42,2,1,6,9,Entry,4299.4186
Env1,308,43,2,3,8,28,Entry,4081.3955
Env1,376,44,2,5,10,16,Entry,4828.125
Env1,340,45,2,4,9,20,Entry,5468.0232
Env1,329,46,2,4,9,9,Entry,5046.5842
Env1,213,47,2,1,6,13,Entry,5069.7675
Env1,265,48,2,2,7,25,Entry,4725.0002
Env1,333,49,2,4,9,13,Entry,5638.0815
Env1,215,50,2,1,6,15,Entry,6638.8081
Env1,225,51,2,1,6,25,Entry,4660.2469
Env1,233,52,2,1,6,33,Entry,4965.1165
Env1,287,53,2,3,8,7,Entry,4936.1191
Env1,252,54,2,2,7,12,Entry,4754.5421
Env1,313,55,2,3,8,33,Entry,4988.372
Env1,380,56,2,5,10,20,Entry,5069.7675
Env1,310,57,2,3,8,30,Entry,4929.07
Env1,384,58,2,5,10,24,Entry,6781.3956
Env1,296,59,2,3,8,16,Entry,5213.5466
Env1,394,60,2,5,10,34,Entry,4184.8382
Env1,372,61,2,5,10,12,Entry,5208.4304
Env1,325,62,2,4,9,5,Entry,3992.1513
Env1,377,63,2,5,10,17,Entry,4525.0219
Env1,254,64,2,2,7,14,Entry,6153.4303
Env1,311,65,2,3,8,31,Entry,4835.9192
Env1,332,66,2,4,9,12,Entry,5902.3258
Env1,351,67,2,4,9,31,Entry,5572.6746
Env1,229,68,2,1,6,29,Entry,3366.4245
Env1,322,69,2,4,9,2,Entry,5069.7675
Env1,339,70,2,4,9,19,Entry,5354.041
Env1,261,71,2,2,7,21,Entry,4971.1484
Env1,258,72,2,2,7,18,Entry,4718.75
Env1,272,73,2,2,7,32,Entry,5180.2328
Env1,348,74,2,4,9,28,Entry,5078.125
Env1,227,75,2,1,6,27,Entry,5066.3515
Env1,276,76,2,2,7,36,Entry,5244.4043
Env1,305,77,2,3,8,25,Entry,3723.0742
Env1,280,78,2,2,7,40,Entry,4731.1045
Env1,335,79,2,4,9,15,Entry,5437.5
Env1,203,80,2,1,6,3,Entry,4526.1265
Env1,314,81,2,3,8,34,Entry,4509.4477
Env1,234,82,2,1,6,34,Entry,4770.1307
Env1,298,83,2,3,8,18,Entry,5850.7993
Env1,307,84,2,3,8,27,Entry,5951.3083
Env1,303,85,2,3,8,23,Entry,5349.5637
Env1,239,86,2,1,6,39,Entry,5244.186
Env1,293,87,2,3,8,13,Entry,4534.9928
Env1,378,88,2,5,10,18,Entry,4764.5348
Env1,316,89,2,3,8,36,Entry,5337.5002
Env1,400,90,2,5,10,40,Entry,4731.1045
Env1,222,91,2,1,6,22,Entry,5381.0317
Env1,283,92,2,3,8,3,Entry,6371.2208
Env1,267,93,2,2,7,27,Entry,5703.4884
Env1,221,94,2,1,6,21,Entry,5621.5115
Env1,223,95,2,1,6,23,Entry,6429.9422
Env1,304,96,2,3,8,24,Entry,5244.186
Env1,284,97,2,3,8,4,Entry,4726.9624
Env1,204,98,2,1,6,4,Entry,5937.5
Env1,242,99,2,2,7,2,Entry,5667.6597
Env1,397,100,2,5,10,37,Entry,5017.8781
Env1,344,101,2,4,9,24,Entry,4363.9537
Env1,345,102,2,4,9,25,Entry,5275.4363
Env1,328,103,2,4,9,8,Entry,7252.3621
Env1,271,104,2,2,7,31,Entry,5116.279
Env1,226,105,2,1,6,26,Entry,5324.8548
Env1,238,106,2,1,6,38,Entry,6015.625
Env1,232,107,2,1,6,32,Entry,4504.1427
Env1,365,108,2,5,10,5,Entry,5337.2095
Env1,219,109,2,1,6,19,Entry,5855.2328
Env1,330,110,2,4,9,10,Entry,7047.6019
Env1,302,111,2,3,8,22,Entry,4920.3487
Env1,214,112,2,1,6,14,Entry,5148.8374
Env1,331,113,2,4,9,11,Entry,6811.0467
Env1,288,114,2,3,8,8,Entry,4960.4653
Env1,383,115,2,5,10,23,Entry,5965.1165
Env1,205,116,2,1,6,5,Entry,5140.625
Env1,390,117,2,5,10,30,Entry,4279.651
Env1,210,118,2,1,6,10,Entry,4868.4593
Env1,306,119,2,3,8,26,Entry,5996.5119
Env1,250,120,2,2,7,10,Entry,5980.8142
Env1,289,121,2,3,8,9,Entry,6233.2123
Env1,356,122,2,4,9,36,Entry,5337.2095
Env1,327,123,2,4,9,7,Entry,5203.125
Env1,247,124,2,2,7,7,Entry,5606.7588
Env1,257,125,2,2,7,17,Entry,6718.75
Env1,355,126,2,4,9,35,Entry,4718.75
Env1,253,127,2,2,7,13,Entry,6725.5632
Env1,312,128,2,3,8,32,Entry,4235.865
Env1,353,129,2,4,9,33,Entry,5779.0335
Env1,231,130,2,1,6,31,Entry,5403.1614
Env1,244,131,2,2,7,4,Entry,5166.8244
Env1,235,132,2,1,6,35,Entry,3529.0334
Env1,278,133,2,2,7,38,Entry,5436.0464
Env1,266,134,2,2,7,26,Entry,5250
Env1,275,135,2,2,7,35,Entry,5011.628
Env1,324,136,2,4,9,4,Entry,5583.7211
Env1,294,137,2,3,8,14,Entry,5324.8548
Env1,301,138,2,3,8,21,Entry,4719.7674
Env1,217,139,2,1,6,17,Entry,5704.8513
Env1,206,140,2,1,6,6,Entry,5685.0655
Env1,367,141,2,5,10,7,Entry,5875
Env1,338,142,2,4,9,18,Entry,3608.1394
Env1,268,143,2,2,7,28,Entry,5677.3254
Env1,342,144,2,4,9,22,Entry,6858.067
Env1,212,145,2,1,6,12,Entry,6670.4215
Env1,299,146,2,3,8,19,Entry,6559.7747
Env1,369,147,2,5,10,9,Entry,5767.8051
Env1,326,148,2,4,9,6,Entry,5142.8781
Env1,366,149,2,5,10,6,Entry,5244.186
Env1,361,150,2,5,10,1,Entry,4842.4856
Env1,343,151,2,4,9,23,Entry,5664.2439
Env1,318,152,2,3,8,38,Entry,6292.1694
Env1,224,153,2,1,6,24,Entry,4840.9886
Env1,240,154,2,1,6,40,Entry,5475.0003
Env1,371,155,2,5,10,11,Entry,5873.0016
Env1,323,156,2,4,9,3,Entry,5180.2328
Env1,368,157,2,5,10,8,Entry,5671.875
Env1,395,158,2,5,10,35,Entry,4328.2242
Env1,363,159,2,5,10,3,Entry,5761.0467
Env1,286,160,2,3,8,6,Entry,5211.6281
Env1,269,161,2,2,7,29,Entry,6458.3937
Env1,388,162,2,5,10,28,Entry,4774.7095
Env1,255,163,2,2,7,15,Entry,5866.5696
Env1,382,164,2,5,10,22,Entry,6842.7998
Env1,389,165,2,5,10,29,Entry,5375
Env1,315,166,2,3,8,35,Entry,5113.0813
Env1,385,167,2,5,10,25,Entry,5361.9185
Env1,282,168,2,3,8,2,Entry,7130.8139
Env1,273,169,2,2,7,33,Entry,5237.7906
Env1,360,170,2,4,9,40,Entry,4986.4642
Env1,220,171,2,1,6,20,Entry,4346.8386
Env1,341,172,2,4,9,21,Entry,5755.8139
Env1,251,173,2,2,7,11,Entry,6299.4916
Env1,281,174,2,3,8,1,Entry,6710.4285
Env1,321,175,2,4,9,1,Entry,5122.093
Env1,292,176,2,3,8,12,Entry,6056.9588
Env1,208,177,2,1,6,8,Entry,5418.7498
Env1,264,178,2,2,7,24,Entry,5240
Env1,392,179,2,5,10,32,Entry,5233.8374
Env1,358,180,2,4,9,38,Entry,5240
Env1,201,181,2,1,6,1,Entry,5261.628
Env1,387,182,2,5,10,27,Entry,3688.9536
Env1,379,183,2,5,10,19,Entry,5011.628
Env1,391,184,2,5,10,31,Entry,5240
Env1,349,185,2,4,9,29,Entry,4537.5
Env1,295,186,2,3,8,15,Entry,5058.612
Env1,291,187,2,3,8,11,Entry,6154.9056
Env1,285,188,2,3,8,5,Entry,7873.9279
Env1,228,189,2,1,6,28,Entry,3652.253
Env1,263,190,2,2,7,23,Entry,4458.1397
Env1,270,191,2,2,7,30,Entry,3934.9565
Env1,207,192,2,1,6,7,Entry,4486.9186
Env1,309,193,2,3,8,29,Check,4790.1161
Env1,393,194,2,5,10,33,Check,5170.2238
Env1,211,195,2,1,6,11,Check,5148.8374
Env1,373,196,2,5,10,13,Check,5582.7033
Env1,357,197,2,4,9,37,Check,4375.5089
Env1,259,198,2,2,7,19,Check,5781.1303
Env1,279,199,2,2,7,39,Check,5334.3205
Env1,337,200,2,4,9,17,Check,5125
Env2,59,1,1,2,2,19,Entry,4093.9921
Env2,19,2,1,1,1,19,Entry,4323.7074
Env2,27,3,1,1,1,27,Entry,4636.7462
Env2,127,4,1,4,4,7,Entry,6550.0674
Env2,132,5,1,4,4,12,Entry,5656.6347
Env2,92,6,1,3,3,12,Entry,5036.1539
Env2,106,7,1,3,3,26,Entry,4756.3341
Env2,82,8,1,3,3,2,Entry,5127.4782
Env2,199,9,1,5,5,39,Entry,3919.8288
Env2,57,10,1,2,2,17,Entry,4263.5658
Env2,68,11,1,2,2,28,Entry,6277.1792
Env2,44,12,1,2,2,4,Entry,5278.2047
Env2,131,13,1,4,4,11,Entry,5998.2982
Env2,96,14,1,3,3,16,Entry,5374.4581
Env2,145,15,1,4,4,25,Entry,5075.1968
Env2,163,16,1,5,5,3,Entry,3891.9855
Env2,3,17,1,1,1,3,Entry,5106.353
Env2,24,18,1,1,1,24,Entry,4837.5937
Env2,38,19,1,1,1,38,Entry,4202.7987
Env2,181,20,1,5,5,21,Entry,4587.156
Env2,75,21,1,2,2,35,Entry,5942.691
Env2,21,22,1,1,1,21,Entry,5788.6253
Env2,200,23,1,5,5,40,Entry,6421.7314
Env2,190,24,1,5,5,30,Entry,6194.0774
Env2,134,25,1,4,4,14,Entry,5041.1609
Env2,60,26,1,2,2,20,Entry,5304.6116
Env2,161,27,1,5,5,1,Entry,3888.372
Env2,12,28,1,1,1,12,Entry,5347.4191
Env2,49,29,1,2,2,9,Entry,4979.0987
Env2,72,30,1,2,2,32,Entry,4754.3134
Env2,193,31,1,5,5,33,Entry,4798.6385
Env2,122,32,1,4,4,2,Entry,6133.2109
Env2,133,33,1,4,4,13,Entry,4995.6029
Env2,119,34,1,3,3,39,Entry,5028.3609
Env2,180,35,1,5,5,20,Entry,4243.2329
Env2,53,36,1,2,2,13,Entry,3964.0591
Env2,164,37,1,5,5,4,Entry,5346.2163
Env2,171,38,1,5,5,11,Entry,4803.6016
Env2,35,39,1,1,1,35,Entry,5038.7599
Env2,176,40,1,5,5,16,Entry,2975.3762
Env2,198,41,1,5,5,38,Entry,4663.2339
Env2,124,42,1,4,4,4,Entry,4647.3188
Env2,187,43,1,5,5,27,Entry,5573.9533
Env2,1,44,1,1,1,1,Entry,5835.6325
Env2,66,45,1,2,2,26,Entry,6427.0612
Env2,86,46,1,3,3,6,Entry,5014.1803
Env2,148,47,1,4,4,28,Entry,4595.9547
Env2,40,48,1,1,1,40,Entry,4012.6218
Env2,182,49,1,5,5,22,Entry,5514.8798
Env2,16,50,1,1,1,16,Entry,4780.7853
Env2,144,51,1,4,4,24,Entry,5245.088
Env2,62,52,1,2,2,22,Entry,5915.2134
Env2,88,53,1,3,3,8,Entry,5848.1529
Env2,153,54,1,4,4,33,Entry,5020.5911
Env2,150,55,1,4,4,30,Entry,5069.4837
Env2,46,56,1,2,2,6,Entry,4481.9861
Env2,81,57,1,3,3,1,Entry,3999.4375
Env2,101,58,1,3,3,21,Entry,5593.0233
Env2,15,59,1,1,1,15,Entry,4310.3448
Env2,32,60,1,1,1,32,Entry,4966.4959
Env2,76,61,1,2,2,36,Entry,5745.5541
Env2,168,62,1,5,5,8,Entry,4878.0025
Env2,123,63,1,4,4,3,Entry,5966.6332
Env2,93,64,1,3,3,13,Entry,5303.1905
Env2,195,65,1,5,5,35,Entry,4720.93
Env2,13,66,1,1,1,13,Entry,5521.8604
Env2,147,67,1,4,4,27,Entry,5091.163
Env2,146,68,1,4,4,26,Entry,5259.4659
Env2,121,69,1,4,4,1,Entry,5153.2768
Env2,58,70,1,2,2,18,Entry,4958.6777
Env2,142,71,1,4,4,22,Entry,5510.3361
Env2,158,72,1,4,4,38,Entry,3560.2538
Env2,33,73,1,1,1,33,Entry,5507.2676
Env2,29,74,1,1,1,29,Entry,3841.6815
Env2,11,75,1,1,1,11,Entry,4273.2557
Env2,117,76,1,3,3,37,Entry,5074.5379
Env2,67,77,1,2,2,27,Entry,4222.5068
Env2,98,78,1,3,3,18,Entry,4784.8835
Env2,125,79,1,4,4,5,Entry,5613.9138
Env2,138,80,1,4,4,18,Entry,5178.8157
Env2,102,81,1,3,3,22,Entry,5289.9887
Env2,113,82,1,3,3,33,Entry,4736.2449
Env2,54,83,1,2,2,14,Entry,5487.8049
Env2,26,84,1,1,1,26,Entry,4034.7853
Env2,192,85,1,5,5,32,Entry,4668.0582
Env2,37,86,1,1,1,37,Entry,5328.1762
Env2,157,87,1,4,4,37,Entry,5479.6511
Env2,109,88,1,3,3,29,Entry,5429.851
Env2,155,89,1,4,4,35,Entry,5507.0528
Env2,85,90,1,3,3,5,Entry,5422.2384
Env2,126,91,1,4,4,6,Entry,3379.5949
Env2,31,92,1,1,1,31,Entry,5492.6827
Env2,84,93,1,3,3,4,Entry,5586.5252
Env2,23,94,1,1,1,23,Entry,4123.0621
Env2,7,95,1,1,1,7,Entry,5052.9821
Env2,154,96,1,4,4,34,Entry,5259.4659
Env2,45,97,1,2,2,5,Entry,5724.8059
Env2,78,98,1,2,2,38,Entry,5646.099
Env2,56,99,1,2,2,16,Entry,5800.2735
Env2,156,100,1,4,4,36,Entry,5949.933
Env2,61,101,1,2,2,21,Entry,5099.3219
Env2,94,102,1,3,3,14,Entry,5531.7763
Env2,135,103,1,4,4,15,Entry,6710.3952
Env2,112,104,1,3,3,32,Entry,4883.721
Env2,95,105,1,3,3,15,Entry,4970.93
Env2,80,106,1,2,2,40,Entry,5697.6747
Env2,41,107,1,2,2,1,Entry,4720.93
Env2,18,108,1,1,1,18,Entry,5527.0069
Env2,83,109,1,3,3,3,Entry,5075.2956
Env2,91,110,1,3,3,11,Entry,4995.7457
Env2,100,111,1,3,3,20,Entry,5166.7935
Env2,177,112,1,5,5,17,Entry,5704.4012
Env2,172,113,1,5,5,12,Entry,5608.8239
Env2,10,114,1,1,1,10,Entry,4791.6667
Env2,64,115,1,2,2,24,Entry,5541.3954
Env2,6,116,1,1,1,6,Entry,5814.6801
Env2,151,117,1,4,4,31,Entry,5303.1905
Env2,167,118,1,5,5,7,Entry,4872.093
Env2,185,119,1,5,5,25,Entry,6274.6354
Env2,129,120,1,4,4,9,Entry,5697.6743
Env2,52,121,1,2,2,12,Entry,5698.7036
Env2,39,122,1,1,1,39,Entry,6322.5561
Env2,5,123,1,1,1,5,Entry,5528.3721
Env2,137,124,1,4,4,17,Entry,5150.5062
Env2,165,125,1,5,5,5,Entry,4911.3841
Env2,160,126,1,4,4,40,Entry,5737.7049
Env2,51,127,1,2,2,11,Entry,5228.7455
Env2,69,128,1,2,2,29,Entry,4647.2869
Env2,34,129,1,1,1,34,Entry,5573.3338
Env2,162,130,1,5,5,2,Entry,5454.9416
Env2,2,131,1,1,1,2,Entry,5643.4111
Env2,136,132,1,4,4,16,Entry,4906.7846
Env2,196,133,1,5,5,36,Entry,5012.7025
Env2,71,134,1,2,2,31,Entry,5247.3275
Env2,36,135,1,1,1,36,Entry,7149.6968
Env2,103,136,1,3,3,23,Entry,5123.2464
Env2,73,137,1,2,2,33,Entry,5271.9582
Env2,43,138,1,2,2,3,Entry,5507.0528
Env2,194,139,1,5,5,34,Entry,8464.4321
Env2,169,140,1,5,5,9,Entry,4630.5016
Env2,20,141,1,1,1,20,Entry,6868.7707
